Asset_Number,Lag,ACF_Value
300016,12,0.0043
300016,13,-0.0503
300016,14,0.0002
300016,15,0.0268
300016,16,-0.0246
300016,17,-0.0075
300016,18,0.0063
300016,19,0.0082
300016,20,-0.0301
300017,0,1.0
300017,1,-0.0141
300017,2,-0.1148
300017,3,-0.0966
300017,4,-0.0499
300017,5,-0.0515
300017,6,-0.0449
300017,7,-0.0431
300017,8,-0.0481
300017,9,-0.021
300017,10,-0.0238
300017,11,0.0327
300017,12,0.0708
300017,13,-0.0172
300017,14,-0.0058
300017,15,-0.0273
300017,16,0.0001
300017,17,-0.0627
300017,18,0.034
300017,19,0.0506
300017,20,-0.0344
300018,0,1.0
300018,1,-0.0182
300018,2,-0.1339
300018,3,-0.0891
300018,4,-0.0831
300018,5,-0.0186
300018,6,-0.0576
300018,7,-0.0441
300018,8,-0.0349
300018,9,-0.0174
300018,10,0.0142
300018,11,0.0559
300018,12,-0.0331
300018,13,-0.0494
300018,14,0.0266
300018,15,-0.0071
300018,16,-0.0054
300018,17,-0.0444
300018,18,-0.0228
300018,19,0.0475
300018,20,0.0266
300019,0,1.0
300019,1,-0.0185
300019,2,-0.1406
300019,3,-0.0581
300019,4,-0.0795
300019,5,-0.0634
300019,6,-0.0166
300019,7,-0.0648
300019,8,-0.0279
300019,9,-0.0111
300019,10,-0.0182
300019,11,0.0207
300019,12,-0.0238
300019,13,-0.013
300019,14,-0.0186
300019,15,0.0214
300019,16,0.0181
300019,17,-0.0328
300019,18,-0.006
300019,19,-0.0315
300019,20,0.0788
300020,0,1.0
300020,1,-0.0184
300020,2,-0.1364
300020,3,-0.1251
300020,4,-0.0931
300020,5,-0.0443
300020,6,-0.0309
300020,7,-0.0578
300020,8,-0.0077
300020,9,0.0104
300020,10,0.0214
300020,11,0.0125
300020,12,-0.002
300020,13,-0.0404
300020,14,0.0047
300020,15,0.009
300020,16,-0.0196
300020,17,0.0351
300020,18,-0.0126
300020,19,-0.0329
300020,20,0.0266
300021,0,1.0
300021,1,-0.019
300021,2,-0.1423
300021,3,-0.0686
300021,4,-0.0472
300021,5,-0.0476
300021,6,-0.0105
300021,7,-0.0873
300021,8,-0.0188
300021,9,-0.0242
300021,10,0.0009
300021,11,-0.008
300021,12,-0.0021
300021,13,0.0245
300021,14,-0.061
300021,15,-0.0368
300021,16,-0.0064
300021,17,0.0006
300021,18,0.0352
300021,19,0.0355
300021,20,-0.0248
300022,0,1.0
300022,1,-0.0176
300022,2,-0.1324
300022,3,-0.1057
300022,4,-0.0805
300022,5,-0.0556
300022,6,-0.0369
300022,7,0.0036
300022,8,-0.0197
300022,9,-0.0447
300022,10,0.0412
300022,11,-0.0383
300022,12,-0.0132
300022,13,0.0104
300022,14,-0.0481
300022,15,0.0013
300022,16,0.0097
300022,17,0.0167
300022,18,0.01
300022,19,-0.0402
300022,20,-0.0384
300023,0,1.0
300023,1,-0.02
300023,2,-0.1486
300023,3,-0.0984
300023,4,-0.0537
300023,5,-0.0417
300023,6,-0.0176
300023,7,0.0044
300023,8,0.0195
300023,9,0.0212
300023,10,-0.0545
300023,11,-0.0235
300023,12,-0.037
300023,13,0.0138
300023,14,-0.0032
300023,15,-0.0101
300023,16,0.0042
300023,17,-0.0389
300023,18,0.0012
300023,19,0.0226
300023,20,-0.0139
300024,0,1.0
300024,1,-0.0154
300024,2,-0.1253
300024,3,-0.0951
300024,4,-0.0544
300024,5,-0.0552
300024,6,-0.0523
300024,7,-0.0597
300024,8,-0.0331
300024,9,-0.048
300024,10,0.0181
300024,11,0.0382
300024,12,0.0373
300024,13,0.0005
300024,14,-0.0474
300024,15,-0.0421
300024,16,0.0112
300024,17,0.0318
300024,18,0.0246
300024,19,-0.0529
300024,20,0.0168
300025,0,1.0
300025,1,-0.0136
300025,2,-0.1164
300025,3,-0.096
300025,4,-0.0782
300025,5,-0.0716
300025,6,-0.0307
300025,7,-0.0103
300025,8,-0.015
300025,9,-0.0222
300025,10,-0.043
300025,11,-0.0123
300025,12,0.0389
300025,13,0.005
300025,14,0.0154
300025,15,-0.0134
300025,16,-0.0716
300025,17,0.0
300025,18,-0.0241
300025,19,0.0125
300025,20,0.0458
300026,0,1.0
300026,1,-0.0124
